"","ID","Name","FDR","Control","IBD","UC","CD"
"42","V50","50",0.00472842909355477,-0.450519737678571,-0.526997489939024,-0.521922449078947,-0.531380479772727
"43","V15","15",0.0118730048226348,-0.0602659448571429,-0.326586888402439,-0.192951169197368,-0.441999554988636
"44","V23","23",0.0359004789154309,0.812458008214286,0.64351430452439,0.691623536881579,0.601965422034091
"45","V32","32",0.0359004789154309,-0.719424186785714,-0.649222668902439,-0.668556088289474,-0.632525624886364
"46","V25","25",0.0577366917243341,-0.254228413178571,-0.339735083103659,-0.343237368934211,-0.336710381704545
"47","V34","34",0.0699165597440127,-0.360281937089286,-0.0814590237073171,-0.128099109131579,-0.0411789499318182
"48","V14","14",0.122707957582605,-0.478885277107143,-0.333824094542683,-0.440973427447368,-0.241286034306818
"49","V62","62",0.181203913870075,0.665595912732143,0.561103296689024,0.588960510131579,0.537044794170455
"50","V42","42",0.254302932841704,0.0840766030080357,0.257326698963415,0.185601912513158,0.319270832715909
"51","V2","2",0.255598377577917,0.196649188792857,0.287594502097561,0.264296387723684,0.307715600875
"52","V35","35",0.284397671107761,0.464007576964286,0.51829262847561,0.498938782105263,0.535007313977273
"53","V58","58",0.284397671107761,0.515011740357143,0.477498243902439,0.513620467105263,0.446301778409091
"54","V1","1",1,-0.0189983409232143,-0.00217071154182927,-0.0313469677007895,0.0230269642318182
"55","V3","3",1,0.0280321124107143,-0.0133815473414634,-0.0108550052763158,-0.0155635609431818
"56","V16","16",1,6.6007546e-05,6.6007546e-05,6.6007546e-05,6.6007546e-05
"57","V21","21",1,0.239223003607143,0.0932933807682927,0.189519667986842,0.0101888599886364
"58","V22","22",1,0.376157549464286,0.419983272481707,0.408861434105263,0.429588496534091
"59","V27","27",1,-0.800806188928571,-0.790074653426829,-0.768465105289474,-0.808737445
"60","V28","28",1,0.699917462678571,0.735344694957317,0.770258485710526,0.705191875670455
"61","V29","29",1,-1.21810035e-05,-1.21810035e-05,-1.21810035e-05,-1.21810035e-05
"62","V36","36",1,0.574892285357143,0.585974467439024,0.581090136315789,0.590192753409091
"63","V39","39",1,-0.507960131392857,-0.42280730545122,-0.350535614723684,-0.485223765625
"64","V52","52",1,-9.0075986e-07,-9.0075986e-07,-9.0075986e-07,-9.0075986e-07
"65","V54","54",1,0.434712086857143,0.431242469386585,0.471789063413158,0.396224956363636
"66","V55","55",1,3.5694163e-06,3.5694163e-06,3.5694163e-06,3.5694163e-06
"67","V59","59",1,-1.2479131e-06,-1.2479131e-06,-1.2479131e-06,-1.2479131e-06
"68","V60","60",1,6.975781e-08,6.975781e-08,6.975781e-08,6.975781e-08
"69","V63","63",1,-0.002081337,-0.002081337,-0.002081337,-0.002081337
"70","V64","64",1,-4.427958e-05,-4.427958e-05,-4.427958e-05,-4.427958e-05
