,Acidaminococcus,Alistipes,Anaerostipes,Anaerotruncus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Butyricicoccus,Catenibacterium,Citrobacter,Clostridium,Collinsella,Coprococcus,Desulfovibrio,Dorea,Eggerthella,Enterobacter,Enterococcus,Eubacterium,Fusobacterium,Haemophilus,Holdemania,Klebsiella,Lactobacillus,Lactococcus,Leuconostoc,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Pediococcus,Phascolarctobacterium,Prevotella,Propionibacterium,Proteus,Roseburia,Rothia,Ruminococcus,Slackia,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella
PRISM|7791,-0.625944091,3.93219482,5.401400937,1.518396379,4.054420041,-4.164928436,0.078343696,-3.417657414,2.364691958,-3.660175108,1.489036905,-3.304741073,6.102272419,0.779395879,3.550237156,-1.77605937,-3.942614966,2.18259448,-4.647596604,0.493491342,5.892765082,-2.617846203,-5.6126775,2.707118343,-2.43335857,1.027420412,-2.556978299,-1.159024104,2.46696652,0.807627477,0.44191329,0.938997222,2.222211067,2.564648718,2.789298036,0.004283864,-2.713053352,-1.961737881,-2.119862764,-4.347535889,-2.63067773,0.13048907,-3.808780881,-5.095373882,6.5501405,-0.125131085,1.197635456,7.267422051,-3.563869932,0.527304434,-3.197092425
PRISM|7843,7.563403268,2.758672934,-2.867373124,-1.315340633,3.04937135,-3.898206424,5.798454819,-3.150935402,-2.206289387,-3.393453095,1.761696681,-3.03801906,3.584429534,1.051898326,3.816959169,-1.509337358,-3.675892953,2.455254256,-4.380874591,1.34199376,1.345558846,-2.35112419,-5.345955487,-2.139500258,-2.166636557,6.045481988,-2.290256287,-0.892302091,2.736512845,6.712190037,0.708635303,1.211656997,2.488933079,2.836072844,-0.825747299,0.271005877,3.608649127,-1.695015869,-1.853140751,-4.080813877,-1.979745878,0.397211082,-1.884435698,-4.828651869,-2.672548079,0.141590927,0.55406731,1.899015251,-3.297147919,-3.005624457,6.605652983
PRISM|7847,-3.711544588,6.83832764,-2.995923268,-1.443890778,6.691113847,-4.026756568,6.825281785,2.8758121,-2.334839531,-3.52200324,1.626062921,-3.166569205,3.405302028,0.91645236,5.127330144,-1.637887502,-3.804443097,2.319620496,-4.509424736,-1.178065403,6.304007066,-2.479674335,2.697018199,2.557821607,-2.295186702,0.633791513,1.269500586,-1.020852236,2.604594372,-1.177527892,0.580085158,1.076023238,5.62024817,2.701913855,-1.929002458,0.142455732,3.109147333,-1.823566013,-1.981690896,-4.209364021,-2.492505862,0.268660938,-3.670609013,-4.957202014,-2.801098223,0.013040783,3.352789807,1.770465106,-3.425698064,-3.134174601,-1.597366539
PRISM|7852,-4.219650274,2.126119444,-3.504028955,-1.951996464,6.254222476,3.531509795,2.287616991,1.709075956,1.358618926,0.271899475,1.124268385,-3.674674891,2.900679904,1.514668375,3.629292869,-2.145993188,-4.312548784,1.81782596,-5.017530422,5.836851089,0.897000797,-2.987780021,-2.599907628,2.0443256,7.05836941,0.125685827,-2.926912117,-1.528957922,2.099489092,-1.685633578,0.071979472,0.574228701,1.852277249,4.083546871,2.856928219,-0.365649954,-3.08298717,-2.3316717,-2.489796582,-4.717469708,-3.000611548,-0.239444748,-4.178714699,-5.4653077,4.503342197,-0.495064904,0.934272428,1.26235942,2.697023643,-3.642280287,1.141134675
PRISM|7855,-3.861146175,5.556082384,1.413767215,2.881132871,7.675974372,4.568626345,0.066913977,-3.429087133,-2.484441119,-3.671604827,1.477373045,-3.316170792,4.03817655,0.767738241,5.190807396,-1.787489089,-3.954044685,2.17093062,-4.659026323,-1.32766699,4.317466419,-2.629275922,-5.624107219,3.066994692,-2.444788289,0.484189926,3.543947104,-1.170453823,2.455425611,-1.327129479,0.430483571,0.927333361,2.210781348,2.553033702,-2.078604045,-0.007145855,3.048434358,-1.973167601,-2.131292483,-4.358965609,-2.642107449,0.119059351,-3.8202106,-5.106803601,5.982481748,-0.136560805,2.603730723,1.620863519,-3.575299651,-3.283776188,1.628617305
PRISM|7858,-4.304108517,3.276512614,1.84192618,2.528766543,5.111498293,-4.619320497,1.550663435,2.680156581,3.648596986,-4.114567169,1.033082546,-3.759133134,3.474896363,3.835122585,4.27518114,-2.230451431,-4.397007027,1.726640121,-5.101988665,-1.770629332,4.707149743,-3.072238264,0.059317577,3.15285442,3.331740139,0.041227584,-1.830503105,-1.613416165,2.011832808,-1.770091821,-0.012478771,0.483042863,1.767819006,2.10902044,2.882772322,-0.450108197,2.568648779,-2.416129943,-2.574254825,-4.801927951,-3.085069791,-0.323902991,-4.263172942,-5.549765943,7.257755916,-0.579523147,-0.167046764,1.177901177,-4.018261993,-0.417301291,0.708273513
PRISM|7860,-4.135783827,4.178261512,-3.420162508,2.85801518,7.404676983,3.987864655,-0.207723675,-3.271398072,0.598108197,-3.946242479,1.202923303,-3.590808444,4.778013571,0.493283505,3.264169785,-2.062126741,-4.228682337,1.896480878,-4.933663975,-1.602304642,1.223062381,-2.903913574,0.287515055,2.261661981,-2.719425941,0.209552274,-2.84304567,-1.445091475,2.180877193,-1.601767131,0.155845919,0.65288362,2.625828663,4.482953818,4.462308186,-0.281783507,-2.999120723,-2.247805253,-2.405930135,-4.633603261,-2.916745101,-0.155578301,3.630297215,-0.968812979,5.595861701,-0.411198457,0.887658068,3.974405581,-3.849937303,1.408028884,-0.917882597
PRISM|7861,-4.260343848,4.453461835,-3.544722529,2.44130837,4.831802634,3.587829923,0.399517809,1.780322097,4.445551638,-4.0708025,1.076703403,-3.715368465,3.071062243,0.36710775,5.106135512,-2.186686762,-4.353242358,1.770260978,-5.058223996,-1.726864664,5.99823877,-3.028473595,-6.023304892,2.696987563,-2.843985962,0.084992252,3.61118315,-1.569651496,2.055529237,-1.726327152,5.82066288,0.526663719,1.811583674,2.152671333,3.736607689,-0.406343528,-3.123680744,-2.372365274,-2.530490156,-4.758163282,-3.041305123,-0.280138322,-4.219408273,-5.506001274,6.169132375,-0.535758478,3.672437867,5.536539938,-3.974497324,1.259575178,-3.607719818
PRISM|7862,-3.828218735,6.272483453,-3.112597415,2.99038164,5.474856079,-4.143430715,0.099841418,-3.396159693,-2.451513678,-3.638677387,1.508687349,-3.283243351,3.489470315,5.088442023,4.252218685,-1.754561649,-3.921117244,2.202244924,-4.626098883,-1.29473955,6.111612591,-2.596348482,4.326171404,3.505242117,-2.411860849,0.517117366,-2.535480578,-1.137526383,2.487587371,2.368944621,7.248790806,0.958647665,4.646665477,2.584684766,-2.045676605,0.025781586,4.18354142,-1.94024016,-2.098365042,-4.326038168,-2.609180009,0.151986791,-3.78728316,-5.073876161,-2.91777237,-0.103633364,3.185291008,1.65379096,-3.542372211,0.417124711,-3.175594704
PRISM|7870,-4.064189799,3.415633654,2.270206238,1.933573261,5.382703776,-4.379401779,-0.136129647,0.149435444,-2.687484742,-3.874648451,1.273835281,-3.519214416,5.680182913,0.564213613,3.335763814,-1.990532713,-4.157088308,1.967392855,-4.862069947,2.183672641,6.861046799,-2.832319546,-5.827150843,4.636398574,-2.647831913,2.513104229,2.327785397,-1.373497447,2.252147373,-1.530173103,5.917827582,0.723795597,2.007737724,5.258587607,-2.281647669,-0.210189479,-2.927526695,-2.176211224,-2.334336107,-4.562009232,-2.845151073,-0.083984273,-4.023254224,-5.309847225,3.653288839,5.584423613,2.915819638,4.75107911,-3.778343275,0.266143327,-3.411565768
