"","ID","Name","FDR","Control","IBD","UC","CD"
"74","Tricarboxylic.acids.and.derivatives","Tricarboxylic acids and derivatives",9.81438849350467e-07,-3.67829632599316,-1.3719527050011,-2.1265237799092,-0.720277685762296
"75","M.benzoquinones","M-benzoquinones",1.31655154237756e-06,-2.50070316185348,-0.393670740887924,-0.714924397530289,-0.116224401060426
"76","Stigmastanes.and.derivatives","Stigmastanes and derivatives",1.34131121444772e-06,-0.0720407866119967,-1.91820973782254,-1.83716257541277,-1.98820501444916
"77","m.Xylenes","m-Xylenes",1.88133834141457e-06,-6.57125885827285,-2.78422463859569,-4.52928967961689,-1.2771230122592
"78","Fatty.aldehydes","Fatty aldehydes",2.15788445912317e-06,2.11148776246834,0.306916857078789,0.209725130308577,0.390855166562155
"79","O.glucuronides","O-glucuronides",3.31637262087529e-06,-2.79367450942022,-1.03037143853042,-1.79702148008321,-0.368264584462108
"80","Alpha.amino.acid.amides","Alpha amino acid amides",3.70833221529629e-06,-0.823535539772744,-2.42259026433778,-2.13476473621633,-2.6711668568063
"81","Thiazoles","Thiazoles",6.12161994977957e-06,3.11245423934292,3.69598155814484,2.89340142607927,4.38911894492874
"82","Diphenylmethanes","Diphenylmethanes",7.67192194880444e-06,1.60969546390786,0.115691407656283,0.333343056468597,-0.0722804708634435
"83","Tetralins","Tetralins",1.03677009974916e-05,-0.404360647017696,-1.98831893324762,-1.59131304780967,-2.33118765248949
"84","L.alpha.amino.acids","L-alpha-amino acids",1.08038597577331e-05,-5.3393187660573,-3.06338516339074,-1.85789141769972,-4.1044933983057
"85","Monoterpenoids","Monoterpenoids",4.41804476794794e-05,1.38758711284079,-0.38161713269664,-0.46088585381098,-0.313157782643346
"86","Indoles.and.derivatives","Indoles and derivatives",9.19507007134482e-05,2.14717014917061,1.06185812277838,1.56117143915734,0.63063298590564
"87","Diazines","Diazines",0.000103206579597964,2.05562621427313,0.665911400232179,0.706606353964002,0.630765758372878
"88","X2.polyprenyl.6.methoxyphenols","2-polyprenyl-6-methoxyphenols",0.000113697265734511,-0.741688646198741,-2.32386091577787,-2.71898912852696,-1.98261382294912
"89","Imidazopyrimidines","Imidazopyrimidines",0.000125645564030983,-2.94724510265002,-0.707926152087048,-0.802403302772827,-0.626332249222057
"90","Phosphatidylinositol.4.5.bisphosphates","Phosphatidylinositol-4,5-bisphosphates",0.00013521091237255,-1.00409730357197,-4.02583652911555,-3.77393724150351,-4.2433859138714
"91","Cholesteryl.esters","Cholesteryl esters",0.000185690762820151,3.84639852788944,2.73160667815078,2.62435857724045,2.82423003802788
"92","Benzodioxoles","Benzodioxoles",0.000229708248763227,0.474783364787645,1.38151776104834,0.567387442598338,2.08463030880061
"93","Triterpene.saponins","Triterpene saponins",0.000235058634237163,-2.53869317085517,-1.27363718404475,-2.06645676824664,-0.588929361324933
"94","Vitamin.D.and.derivatives","Vitamin D and derivatives",0.000235676313981743,2.51161449583571,1.34522146138856,1.56937621985353,1.15163326089609
"95","Cholestane.steroids","Cholestane steroids",0.000286179372726769,1.63107178101454,0.187870929959013,0.401037742792622,0.00377231887544086
"96","Cysteine.and.derivatives","Cysteine and derivatives",0.000400288773825068,-1.94832403765123,-0.133180590898633,-0.814924792259134,0.455598492094527
"97","Phenol.ethers","Phenol ethers",0.000412321063490902,0.661398838168607,-0.761661689539779,-0.845478557606328,-0.689274394391396
"98","Phenols.and.derivatives","Phenols and derivatives",0.000506774791182686,2.86417248580525,1.45743443074398,1.35648178542735,1.5446208062447
"99","X1.acylglycerol.3.phosphates","1-acylglycerol-3-phosphates",0.000642441092877364,-4.12628830042895,-1.94699616518184,-2.3217303588281,-1.62336208885098
"100","Coumarins.and.derivatives","Coumarins and derivatives",0.000664527967826172,3.34053848942315,2.07620331316895,1.90527773854883,2.22382085488634
"101","Hydroxy.acids.and.derivatives","Hydroxy acids and derivatives",0.000749518370804412,-1.940616027725,-0.468002745008807,-1.06896272449257,0.0510081463635387
"102","Sulfated.steroids","Sulfated steroids",0.000749518370804412,2.04272101229016,0.831611600977548,0.829958851791518,0.833038975274574
"103","Polyethylene.glycols","Polyethylene glycols",0.00081220121211463,0.959439836870875,-0.521393397327622,-0.414974190179391,-0.613300894410186
"104","Very.long.chain.fatty.acids","Very long-chain fatty acids",0.000886653298098797,2.59670761604575,1.30989981621097,1.21821783321472,1.38907971061683
"105","Phenolic.glycosides","Phenolic glycosides",0.00100485425244602,-0.619660200716408,0.991704856988022,0.475572064686491,1.4374559048848
"106","Carbohydrates.and.carbohydrate.conjugates","Carbohydrates and carbohydrate conjugates",0.00110001943132305,-0.652660192832555,0.834005102470336,0.982770907630596,0.705525543468293
"107","Acyclic.diterpenoids","Acyclic diterpenoids",0.00167286741488993,1.55431409453806,2.25438796107538,1.54002478779256,2.8713379743651
"108","Cholesterols.and.derivatives","Cholesterols and derivatives",0.00201033269425002,3.68654566186911,2.43671731826953,2.446065971913,2.42864348103199
"109","Cyanogenic.glycosides","Cyanogenic glycosides",0.0026957783604796,-1.76221210122692,-3.743143738313,-3.13091203628371,-4.27188929915648
"110","Hydroxybenzoic.acid.derivatives","Hydroxybenzoic acid derivatives",0.0026957783604796,1.14398722308388,0.367049661722402,-0.22055939917742,0.874530214317703
"111","X1.acyl.sn.glycero.3.phosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",0.00274298854241567,0.125841631929954,1.30707030824181,1.35063700636592,1.26944452349826
"112","X1.alkyl.2.acylglycero.3.phosphocholines","1-alkyl,2-acylglycero-3-phosphocholines",0.00317472452436596,-1.84976751846934,-0.317503775590151,-0.402338845980924,-0.244237123889029
"113","Other.hydroxyeicosapolyenoic.acids","Other hydroxyeicosapolyenoic acids",0.00329848481183808,0.844026780720082,-0.595767857728523,-0.940395572406861,-0.298134831415413
"114","Sesquiterpenoids","Sesquiterpenoids",0.00352442700362265,4.10927884928067,3.15666595598088,3.04531829700222,3.25282984328064
